feature,selection_frequency,median_coefficient,mean_abs_coefficient,folds_eligible
hsa-miR-181a-5p_477857_mir,1.0,-0.9366543850147064,1.0726979764680942,5
hsa-miR-324-5p_478024_mir,1.0,-1.111747001336252,1.0254038356549757,5
hsa-miR-30b-5p_478007_mir,1.0,0.9872710276099512,0.9872710276099512,2
hsa-miR-342-3p_478043_mir,1.0,-0.5298871585149989,0.7269896497093619,5
hsa-miR-152-3p_477921_mir,1.0,-0.6785909321274365,0.6785909321274365,1
hsa-miR-22-3p_477985_mir,1.0,0.6713769227911499,0.5901375561065887,5
hsa-miR-222-3p_477982_mir,1.0,0.5431291743034674,0.541846468098955,5
hsa-miR-16-2-3p_477931_mir,1.0,0.428983205773478,0.35905961354049504,5
hsa-miR-33a-5p_478347_mir,1.0,0.17325841210922457,0.3325268437770407,5
hsa-miR-339-3p_478325_mir,1.0,0.1387065665934207,0.1387065665934207,2
hsa-miR-374a-5p_478238_mir,1.0,-0.12429050082765834,0.12805715529833545,5
hsa-let-7d-5p_478439_mir,1.0,0.10055507237340566,0.10055507237340566,1
hsa-miR-326_478027_mir,0.8,0.7505004198817705,0.6297377565549331,5
hsa-miR-19b-3p_478264_mir,0.8,-0.5628731467049205,0.619013794218748,5
hsa-miR-103a-2-5p_477864_mir,0.8,-0.4339689611902955,0.5190738860388057,5
hsa-miR-376a-3p_478240_mir,0.8,-0.3678858502610363,0.5061896061165697,5
hsa-miR-421_478088_mir,0.8,0.43095159357048973,0.4514376377501443,5
hsa-miR-199a-3p_477961_mir,0.8,0.4887369799461544,0.43295036779976426,5
hsa-miR-140-3p_477908_mir,0.8,-0.26892024681592536,0.36112610820937785,5
hsa-miR-192-5p_478262_mir,0.8,-0.3507942021726194,0.3387471856836669,5
hsa-miR-122-5p_477855_mir,0.8,-0.06814324226917719,0.2972919418151171,5
hsa-miR-128-3p_477892_mir,0.8,0.17096892362180924,0.29684448634298877,5
hsa-let-7b-5p_478576_mir,0.8,0.2136719353965426,0.2606906610384667,5
hsa-miR-195-5p_477957_mir,0.8,0.22295647672006472,0.24329506021035102,5
hsa-miR-495-3p_478136_mir,0.8,0.0466921221948531,0.23992168843245132,5
hsa-miR-151a-5p_478505_mir,0.8,0.18934279527640643,0.2288152709019417,5
hsa-miR-145-5p_477916_mir,0.8,0.08585854135889281,0.1660013636821874,5
hsa-miR-221-3p_477981_mir,0.8,0.03831703148364711,0.11512325720801567,5
hsa-miR-598-3p_478172_mir,0.75,-0.393602750031401,0.43628963554762873,4
hsa-miR-361-5p_478056_mir,0.6,-0.47812962096401546,0.5073529805085774,5
hsa-miR-374b-5p_478389_mir,0.6,-0.15466299955714735,0.4474557421476052,5
hsa-miR-26a-5p_477995_mir,0.6,0.37116831063720906,0.40284539166544614,5
hsa-miR-409-3p_478084_mir,0.6,0.11026560533013668,0.30383725447499965,5
hsa-miR-24-3p_477992_mir,0.6,0.2591932869300265,0.2708871268659019,5
hsa-miR-181c-5p_477934_mir,0.6,-0.038923307996487314,0.24666065790876646,5
hsa-miR-363-3p_478060_mir,0.6,0.0,0.21765337522573042,5
hsa-miR-125a-5p_477884_mir,0.6,0.18007633860160244,0.21606085598742353,5
hsa-miR-486-5p_478128_mir,0.6,0.06697455155552154,0.21577213800959066,5
hsa-miR-361-3p_478055_mir,0.6,-0.00022184525876852747,0.21161790925669313,5
hsa-miR-22-5p_477987_mir,0.6,0.11347358503025268,0.2106467526730448,5
hsa-miR-210-3p_477970_mir,0.6,0.0,0.17604937938052148,5
hsa-miR-625-3p_478179_mir,0.6,0.0,0.14426345796196513,5
hsa-miR-29c-3p_479229_mir,0.6,-0.015551678867205652,0.13303282466214386,5
hsa-miR-423-3p_478327_mir,0.6,-0.02592148698255721,0.12892114609596067,5
hsa-miR-10b-5p_478494_mir,0.6,0.0,0.12254097728301439,5
hsa-miR-107_478254_mir,0.6,0.059571078712739596,0.12189212907613285,5
hsa-miR-142-5p_477911_mir,0.6,-0.11188751801821431,0.10605073575675047,5
hsa-miR-224-5p_477986_mir,0.6,-0.023743432547420312,0.09794415915070345,5
hsa-miR-223-3p_477983_mir,0.6,0.0,0.08550495546507134,5
hsa-miR-338-3p_478037_mir,0.6,-0.052295277696508914,0.06437094587722822,5
hsa-miR-664a-3p_478193_mir,0.6,0.0,0.06045780579587583,5
hsa-miR-127-3p_477889_mir,0.6,0.0,0.0349079866375212,5
hsa-miR-335-5p_478324_mir,0.5,0.4145301007142037,0.4145301007142037,2
hsa-let-7i-5p_478375_mir,0.5,0.2959223940034208,0.2959223940034208,2
hsa-miR-181a-3p_479405_mir,0.5,0.08771812463271046,0.2504361587118707,4
hsa-let-7f-2-3p_477843_mir,0.5,-0.08616596319112152,0.08616596319112152,2
hsa-miR-29c-5p_478005_mir,0.5,-0.026052102104139944,0.05623633789875347,4
hsa-miR-424-5p_478092_mir,0.4,0.0,0.2630554004451976,5
hsa-miR-340-5p_478042_mir,0.4,0.0,0.19140090456856287,5
hsa-miR-19a-3p_479228_mir,0.4,0.0,0.17160703291799434,5
hsa-miR-23a-3p_478532_mir,0.4,0.0,0.16775745081510265,5
hsa-miR-378a-3p_478349_mir,0.4,0.0,0.16531757962341023,5
hsa-miR-30c-5p_478008_mir,0.4,0.0,0.15055831097029962,5
hsa-miR-339-5p_478040_mir,0.4,0.0,0.13116377250247868,5
hsa-miR-148b-3p_477824_mir,0.4,0.0,0.12300590959113758,5
hsa-miR-193a-5p_477954_mir,0.4,0.0,0.1009823706179405,5
hsa-miR-185-5p_477939_mir,0.4,0.0,0.09628527942223405,5
hsa-miR-191-5p_477952_mir,0.4,0.0,0.09528392983866778,5
hsa-miR-484_478308_mir,0.4,0.0,0.0942317677429529,5
hsa-miR-148a-3p_477814_mir,0.4,0.0,0.08480438284425636,5
hsa-miR-20b-5p_477804_mir,0.4,0.0,0.0842484347187221,5
hsa-miR-103a-3p_478253_mir,0.4,0.0,0.08369630305632865,5
hsa-miR-494-3p_478135_mir,0.4,0.0,0.07695152406137777,5
hsa-miR-27a-3p_478384_mir,0.4,0.0,0.07541869117349063,5
hsa-miR-17-5p_478447_mir,0.4,0.0,0.07097612925687798,5
hsa-miR-126-3p_477887_mir,0.4,0.0,0.06518468660084024,5
hsa-miR-423-5p_478090_mir,0.4,0.0,0.05945558553480916,5
hsa-miR-532-5p_478151_mir,0.4,0.0,0.05678840151000396,5
hsa-miR-125b-5p_477885_mir,0.4,0.0,0.056354912692104686,5
hsa-miR-30d-5p_478606_mir,0.4,0.0,0.042929389637638746,5
hsa-miR-652-3p_478189_mir,0.4,0.0,0.04024264213973546,5
hsa-miR-92a-3p_477827_mir,0.4,0.0,0.035301238784890346,5
hsa-miR-29b-3p_478369_mir,0.4,0.0,0.02587391792473278,5
hsa-let-7g-5p_478580_mir,0.4,0.0,0.017277171089422876,5
hsa-miR-106b-3p_477866_mir,0.25,0.0,0.07954948202109388,4
hsa-miR-382-5p_478078_mir,0.25,0.0,0.020860432402478406,4
hsa-miR-590-3p_478168_mir,0.25,0.0,0.011516631563093158,4
hsa-miR-99b-5p_478343_mir,0.2,0.0,0.19761596593981903,5
hsa-miR-181b-5p_478583_mir,0.2,0.0,0.1267779731192647,5
hsa-miR-146a-5p_478399_mir,0.2,0.0,0.12621651526228528,5
hsa-miR-1301-3p_477897_mir,0.2,0.0,0.12475262348735523,5
hsa-miR-425-5p_478094_mir,0.2,0.0,0.12153968802087792,5
hsa-miR-144-3p_477913_mir,0.2,0.0,0.11728014093659615,5
hsa-miR-186-5p_477940_mir,0.2,0.0,0.11351303365216751,5
hsa-miR-130a-3p_477851_mir,0.2,0.0,0.11003714246301877,5
hsa-miR-199a-5p_478231_mir,0.2,0.0,0.09767805550054484,5
hsa-miR-20a-5p_478586_mir,0.2,0.0,0.0967419557865162,5
hsa-miR-142-3p_477910_mir,0.2,0.0,0.09076622186765881,5
hsa-miR-660-5p_478192_mir,0.2,0.0,0.08596156635159295,5
hsa-miR-126-5p_477888_mir,0.2,0.0,0.07851536671895805,5
hsa-miR-25-3p_477994_mir,0.2,0.0,0.07563137047507741,5
hsa-miR-543_478155_mir,0.2,0.0,0.0721217679961209,5
hsa-miR-26b-5p_478418_mir,0.2,0.0,0.06409237316063764,5
hsa-miR-21-5p_477975_mir,0.2,0.0,0.0636335307088662,5
hsa-miR-92b-3p_477823_mir,0.2,0.0,0.0627660497467282,5
hsa-miR-150-5p_477918_mir,0.2,0.0,0.06224772265555717,5
hsa-miR-301a-3p_477815_mir,0.2,0.0,0.06014511066355786,5
hsa-miR-28-3p_477999_mir,0.2,0.0,0.058077630283700166,5
hsa-miR-15a-5p_477858_mir,0.2,0.0,0.055819776734217987,5
hsa-miR-151a-3p_477919_mir,0.2,0.0,0.04697647323805378,5
hsa-miR-101-3p_477863_mir,0.2,0.0,0.04131440266882412,5
hsa-miR-29a-3p_478587_mir,0.2,0.0,0.033099822601509135,5
hsa-miR-584-5p_478167_mir,0.2,0.0,0.023594107837804662,5
hsa-miR-194-5p_477956_mir,0.2,0.0,0.02145834214790936,5
hsa-miR-155-5p_477927_mir,0.2,0.0,0.017026414908421186,5
hsa-miR-451a_478107_mir,0.2,0.0,0.016658567745247814,5
hsa-miR-143-3p_477912_mir,0.2,0.0,0.014697970233206781,5
hsa-miR-93-5p_478210_mir,0.2,0.0,0.0019961156307980164,5
hsa-miR-425-3p_478093_mir,0.2,0.0,0.000292587373450499,5
hsa-miR-2110_477971_mir,0.0,0.0,0.0,1
hsa-miR-590-5p_478367_mir,0.0,0.0,0.0,2
hsa-miR-7-1-3p_478198_mir,0.0,0.0,0.0,1
